Time da casa;Time da casa.1;Time visitante;Time visitante.1;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Leco (2015-2020)
;Atlético-MG;;São Paulo;2:1;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;São Paulo (7.);;Internacional (12.);1:2;;;Leco (2015-2020)
;Coritiba (9.);;São Paulo (11.);1:1;;;Leco (2015-2020)
;São Paulo (11.);;Palmeiras (4.);1:0;;;Leco (2015-2020)
;Figueirense (17.);;São Paulo (6.);1:0;;;Leco (2015-2020)
;Cruzeiro (14.);;São Paulo (9.);0:1;;;Leco (2015-2020)
;São Paulo (7.);;Atlético-PR (14.);1:2;;;Leco (2015-2020)
;São Paulo (9.);;Vitória (13.);2:0;;;Leco (2015-2020)
;Flamengo (7.);;São Paulo (6.);2:2;;;Leco (2015-2020)
;São Paulo (6.);;Sport (17.);0:0;;;Leco (2015-2020)
;Santos (5.);;São Paulo (8.);3:0;;;Leco (2015-2020)
;São Paulo (11.);;Fluminense (9.);2:1;;;Leco (2015-2020)
;Ponte Preta (11.);;São Paulo (9.);1:0;;;Leco (2015-2020)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Leco (2015-2020)
;São Paulo;;Atl. Nacional;0:2;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;São Paulo (10.);;América-MG (20.);3:0;;;Leco (2015-2020)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Leco (2015-2020)
;Atl. Nacional;;São Paulo;2:1;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;Corinthians (2.);;São Paulo (8.);1:1;;;Leco (2015-2020)
;Grêmio (3.);;São Paulo (9.);1:0;;;Leco (2015-2020)
;São Paulo (9.);;Chapecoense (10.);2:2;;;Leco (2015-2020)
;São Paulo (10.);;Atlético-MG (6.);1:2;;;Leco (2015-2020)
;Santa Cruz (17.);;São Paulo (11.);1:2;;;Leco (2015-2020)
;São Paulo (10.);;Botafogo (13.);0:1;;;Leco (2015-2020)
;Internacional (15.);;São Paulo (12.);1:1;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;São Paulo;;Juventude;1:2;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;São Paulo (12.);;Coritiba (14.);0:0;;;Leco (2015-2020)
;Palmeiras (1.);;São Paulo (12.);2:1;;;Leco (2015-2020)
;São Paulo (14.);;Figueirense (17.);3:1;;;Leco (2015-2020)
;São Paulo (12.);;Cruzeiro (15.);1:0;;;Leco (2015-2020)
;Atlético-PR (10.);;São Paulo (12.);1:0;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;Juventude;;São Paulo;0:1;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;Vitória (16.);;São Paulo (12.);2:0;;;Leco (2015-2020)
;São Paulo (12.);;Flamengo (2.);0:0;;;Leco (2015-2020)
;Sport (15.);;São Paulo (14.);1:1;;;Leco (2015-2020)
;São Paulo (13.);;Santos (4.);0:1;;;Leco (2015-2020)
;Fluminense (6.);;São Paulo (14.);1:2;;;Leco (2015-2020)
;São Paulo (12.);;Ponte Preta (10.);2:0;;;Leco (2015-2020)
;América-MG (19.);;São Paulo (11.);1:0;;;Leco (2015-2020)
;São Paulo (12.);;Corinthians (7.);4:0;;;Leco (2015-2020)
;São Paulo (11.);;Grêmio (8.);1:1;;;Leco (2015-2020)
;Chapecoense (10.);;São Paulo (12.);2:0;;;Leco (2015-2020)
;Atlético-MG (4.);;São Paulo (14.);1:2;;;Leco (2015-2020)
;São Paulo (11.);;Santa Cruz (19.);5:0;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;GO Audax;;São Paulo;4:2;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;Moto Club;;São Paulo;0:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;São Paulo;;Ponte Preta;5:2;;;Leco (2015-2020)
;Santos;;São Paulo;1:3;;;Leco (2015-2020)
;São Paulo;;Mirassol;2:2;;;Leco (2015-2020)
;São Paulo;;São Bento;3:2;;;Leco (2015-2020)
;Novorizontino;;São Paulo;2:2;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;PSTC-PR;;São Paulo;2:4;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;São Paulo;;Santo André;4:1;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;São Paulo;;ABC;3:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;Palmeiras;;São Paulo;3:0;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;ABC;;São Paulo;1:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;São Paulo;;Ituano;1:1;;;Leco (2015-2020)
;Botafogo-SP;;São Paulo;1:1;;;Leco (2015-2020)
;São Paulo;;Corinthians;1:1;;;Leco (2015-2020)
;São Bernardo;;São Paulo;0:1;;;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Leco (2015-2020)
;Linense;;São Paulo;0:2;;;Leco (2015-2020)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Leco (2015-2020)
;Def y Justicia;;São Paulo;0:0;;;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Leco (2015-2020)
;São Paulo;;Linense;5:0;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;São Paulo;;Cruzeiro;0:2;;;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Leco (2015-2020)
;São Paulo;;Corinthians;0:2;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;Cruzeiro;;São Paulo;1:2;;;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Leco (2015-2020)
;Corinthians;;São Paulo;1:1;;;Leco (2015-2020)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Leco (2015-2020)
;São Paulo;;Def y Justicia;1:1;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;Cruzeiro (5.);;São Paulo (13.);1:0;;;Leco (2015-2020)
;São Paulo (15.);;Avaí (12.);2:0;;;Leco (2015-2020)
;São Paulo (11.);;Palmeiras (8.);2:0;;;Leco (2015-2020)
;Ponte Preta (11.);;São Paulo (6.);1:0;;;Leco (2015-2020)
;São Paulo (10.);;Vitória (18.);2:0;;;Leco (2015-2020)
;Corinthians (1.);;São Paulo (7.);3:2;;;Leco (2015-2020)
;Sport (14.);;São Paulo (9.);0:0;;;Leco (2015-2020)
;São Paulo (7.);;Atlético-MG (17.);1:2;;;Leco (2015-2020)
;Atlético-PR (18.);;São Paulo (14.);1:0;;;Leco (2015-2020)
;São Paulo (14.);;Fluminense (6.);1:1;;;Leco (2015-2020)
;Flamengo (3.);;São Paulo (16.);2:0;;;Leco (2015-2020)
;Santos (5.);;São Paulo (17.);3:2;;;Leco (2015-2020)
;São Paulo (19.);;Atlético-GO (20.);2:2;;;Leco (2015-2020)
;Chapecoense (16.);;São Paulo (17.);2:0;;;Leco (2015-2020)
;São Paulo (18.);;Vasco da Gama (9.);1:0;;;Leco (2015-2020)
;São Paulo (17.);;Grêmio (2.);1:1;;;Leco (2015-2020)
;Botafogo (7.);;São Paulo (18.);3:4;;;Leco (2015-2020)
;São Paulo (16.);;Coritiba (17.);1:2;;;Leco (2015-2020)
;Bahia (16.);;São Paulo (17.);2:1;;;Leco (2015-2020)
;São Paulo (17.);;Cruzeiro (7.);3:2;;;Leco (2015-2020)
;Avaí (18.);;São Paulo (16.);1:1;;;Leco (2015-2020)
;Palmeiras (4.);;São Paulo (17.);4:2;;;Leco (2015-2020)
;São Paulo (19.);;Ponte Preta (13.);2:2;;;Leco (2015-2020)
;Vitória (17.);;São Paulo (19.);1:2;;;Leco (2015-2020)
;São Paulo (17.);;Corinthians (1.);1:1;;;Leco (2015-2020)
;São Paulo (17.);;Sport (14.);1:0;;;Leco (2015-2020)
;Atlético-MG (9.);;São Paulo (14.);1:0;;;Leco (2015-2020)
;São Paulo (17.);;Atlético-PR (10.);2:1;;;Leco (2015-2020)
;Fluminense (12.);;São Paulo (13.);3:1;;;Leco (2015-2020)
;São Paulo (15.);;Flamengo (6.);2:0;;;Leco (2015-2020)
;São Paulo (14.);;Santos (3.);2:1;;;Leco (2015-2020)
;Atlético-GO (20.);;São Paulo (11.);0:1;;;Leco (2015-2020)
;São Paulo (9.);;Chapecoense (14.);2:2;;;Leco (2015-2020)
;Vasco da Gama (8.);;São Paulo (11.);1:1;;;Leco (2015-2020)
;Grêmio (2.);;São Paulo (11.);1:0;;;Leco (2015-2020)
;São Paulo (12.);;Botafogo (6.);0:0;;;Leco (2015-2020)
;Coritiba (15.);;São Paulo (13.);1:2;;;Leco (2015-2020)
;São Paulo (12.);;Bahia (11.);1:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;São Bento;;São Paulo;2:0;;;Leco (2015-2020)
;São Paulo;;Novorizontino;0:0;;;Leco (2015-2020)
;Mirassol;;São Paulo;0:2;;;Leco (2015-2020)
;Corinthians;;São Paulo;2:1;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;Madureira;;São Paulo;0:1;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;São Paulo;;Botafogo-SP;2:0;;;Leco (2015-2020)
;São Paulo;;Bragantino;1:0;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;CSA;;São Paulo;0:2;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;São Paulo;;Santos;0:1;;;Leco (2015-2020)
;Ituano;;São Paulo;2:1;;;Leco (2015-2020)
;São Paulo;;Ferroviária;0:0;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;São Paulo;;CRB;2:0;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;Linense;;São Paulo;1:2;;;Leco (2015-2020)
;Palmeiras;;São Paulo;2:0;;;Leco (2015-2020)
;São Paulo;;RB Brasil;3:1;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;CRB;;São Paulo;0:3;;;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Leco (2015-2020)
;São Caetano;;São Paulo;1:0;;;Leco (2015-2020)
;São Paulo;;São Caetano;2:0;;;Leco (2015-2020)
;São Paulo;;Corinthians;1:0;;;Leco (2015-2020)
;Corinthians;;São Paulo;6:4 pen.;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;Atlético-PR;;São Paulo;2:1;;;Leco (2015-2020)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Leco (2015-2020)
;Rosario Central;;São Paulo;0:0;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;São Paulo (5.);;Paraná (20.);1:0;;;Leco (2015-2020)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Leco (2015-2020)
;São Paulo;;Atlético-PR;2:2;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;Ceará (18.);;São Paulo (8.);0:0;;;Leco (2015-2020)
;Fluminense (12.);;São Paulo (7.);1:1;;;Leco (2015-2020)
;São Paulo (9.);;Atlético-MG (4.);2:2;;;Leco (2015-2020)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Leco (2015-2020)
;São Paulo;;Rosario Central;1:0;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;Bahia (16.);;São Paulo (10.);2:2;;;Leco (2015-2020)
;São Paulo (13.);;Santos (11.);1:0;;;Leco (2015-2020)
;América-MG (6.);;São Paulo (7.);1:3;;;Leco (2015-2020)
;São Paulo (4.);;Botafogo (13.);3:2;;;Leco (2015-2020)
;Palmeiras (11.);;São Paulo (2.);3:1;;;Leco (2015-2020)
;São Paulo (4.);;Internacional (5.);0:0;;;Leco (2015-2020)
;Atlético-PR (17.);;São Paulo (6.);0:1;;;Leco (2015-2020)
;São Paulo (3.);;Vitória (15.);3:0;;;Leco (2015-2020)
;Flamengo (1.);;São Paulo (3.);0:1;;;Leco (2015-2020)
;São Paulo (2.);;Corinthians (8.);3:1;;;Leco (2015-2020)
;Grêmio (7.);;São Paulo (2.);2:1;;;Leco (2015-2020)
;Cruzeiro (6.);;São Paulo (2.);0:2;;;Leco (2015-2020)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Leco (2015-2020)
;São Paulo;;Colón;0:1;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;São Paulo (2.);;Vasco da Gama (12.);2:1;;;Leco (2015-2020)
;Sport (14.);;São Paulo (1.);1:3;;;Leco (2015-2020)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Leco (2015-2020)
;Colón;;São Paulo;5:4 pen.;;;Leco (2015-2020)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Leco (2015-2020)
;São Paulo (1.);;Chapecoense (13.);2:0;;;Leco (2015-2020)
;Paraná (20.);;São Paulo (1.);1:1;;;Leco (2015-2020)
;São Paulo (1.);;Ceará (19.);1:0;;;Leco (2015-2020)
;São Paulo (1.);;Fluminense (10.);1:1;;;Leco (2015-2020)
;Atlético-MG (6.);;São Paulo (1.);1:0;;;Leco (2015-2020)
;São Paulo (2.);;Bahia (11.);1:0;;;Leco (2015-2020)
;Santos (8.);;São Paulo (2.);0:0;;;Leco (2015-2020)
;São Paulo (1.);;América-MG (12.);1:1;;;Leco (2015-2020)
;Botafogo (12.);;São Paulo (1.);2:2;;;Leco (2015-2020)
;São Paulo (3.);;Palmeiras (1.);0:2;;;Leco (2015-2020)
;Internacional (2.);;São Paulo (4.);3:1;;;Leco (2015-2020)
;São Paulo (4.);;Atlético-PR (8.);0:0;;;Leco (2015-2020)
;Vitória (17.);;São Paulo (4.);0:1;;;Leco (2015-2020)
;São Paulo (4.);;Flamengo (2.);2:2;;;Leco (2015-2020)
;Corinthians (12.);;São Paulo (4.);1:1;;;Leco (2015-2020)
;São Paulo (5.);;Grêmio (4.);1:1;;;Leco (2015-2020)
;São Paulo (5.);;Cruzeiro (7.);1:0;;;Leco (2015-2020)
;Vasco da Gama (15.);;São Paulo (5.);2:0;;;Leco (2015-2020)
;São Paulo (5.);;Sport (17.);0:0;;;Leco (2015-2020)
;Chapecoense (16.);;São Paulo (5.);1:0;;;Leco (2015-2020)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Leco (2015-2020)
;São Paulo;;Mirassol;4:1;;;Leco (2015-2020)
;Novorizontino;;São Paulo;0:3;;;Leco (2015-2020)
