Competicao;Mandante;Visitante;Resultado;Gestao
Campeonato Brasileiro Série A;Ponte Preta;São Paulo;1:0;Leco (2015-2020)
Copa Libertadores;São Paulo;Atl. Nacional;0:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;América-MG;3:0;Leco (2015-2020)
Copa Libertadores;Atl. Nacional;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Corinthians;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Grêmio;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Chapecoense;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Santa Cruz;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Botafogo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Internacional;São Paulo;1:1;Leco (2015-2020)
Copa do Brasil;São Paulo;Juventude;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Coritiba;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Palmeiras;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Figueirense;3:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-PR;São Paulo;1:0;Leco (2015-2020)
Copa do Brasil;Juventude;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Vitória;São Paulo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Flamengo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Sport;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Santos;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Fluminense;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Ponte Preta;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;América-MG;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Corinthians;4:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Grêmio;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Chapecoense;São Paulo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Santa Cruz;5:0;Leco (2015-2020)
Campeonato Paulista;GO Audax;São Paulo;4:2;Leco (2015-2020)
Copa do Brasil;Moto Club;São Paulo;0:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Ponte Preta;5:2;Leco (2015-2020)
Campeonato Paulista;Santos;São Paulo;1:3;Leco (2015-2020)
Campeonato Paulista;São Paulo;Mirassol;2:2;Leco (2015-2020)
Campeonato Paulista;São Paulo;São Bento;3:2;Leco (2015-2020)
Campeonato Paulista;Novorizontino;São Paulo;2:2;Leco (2015-2020)
Copa do Brasil;PSTC-PR;São Paulo;2:4;Leco (2015-2020)
Campeonato Paulista;São Paulo;Santo André;4:1;Leco (2015-2020)
Copa do Brasil;São Paulo;ABC;3:1;Leco (2015-2020)
Campeonato Paulista;Palmeiras;São Paulo;3:0;Leco (2015-2020)
Copa do Brasil;ABC;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Ituano;1:1;Leco (2015-2020)
Campeonato Paulista;Botafogo-SP;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Corinthians;1:1;Leco (2015-2020)
Campeonato Paulista;São Bernardo;São Paulo;0:1;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Linense;São Paulo;0:2;Leco (2015-2020)
Copa Sul-Americana;Def y Justicia;São Paulo;0:0;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;Linense;5:0;Leco (2015-2020)
Copa do Brasil;São Paulo;Cruzeiro;0:2;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;Corinthians;0:2;Leco (2015-2020)
Copa do Brasil;Cruzeiro;São Paulo;1:2;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Corinthians;São Paulo;1:1;Leco (2015-2020)
Copa Sul-Americana;São Paulo;Def y Justicia;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Cruzeiro;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Avaí;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Palmeiras;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Ponte Preta;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vitória;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Corinthians;São Paulo;3:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Sport;São Paulo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-PR;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Fluminense;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Flamengo;São Paulo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Santos;São Paulo;3:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-GO;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Chapecoense;São Paulo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vasco da Gama;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Grêmio;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Botafogo;São Paulo;3:4;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Coritiba;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Bahia;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;3:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Avaí;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Palmeiras;São Paulo;4:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Ponte Preta;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Vitória;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Corinthians;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Sport;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-PR;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Fluminense;São Paulo;3:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Flamengo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Santos;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-GO;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Chapecoense;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Grêmio;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Botafogo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Coritiba;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Bahia;1:1;Leco (2015-2020)
Campeonato Paulista;São Bento;São Paulo;2:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;Novorizontino;0:0;Leco (2015-2020)
Campeonato Paulista;Mirassol;São Paulo;0:2;Leco (2015-2020)
Campeonato Paulista;Corinthians;São Paulo;2:1;Leco (2015-2020)
Copa do Brasil;Madureira;São Paulo;0:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Botafogo-SP;2:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;Bragantino;1:0;Leco (2015-2020)
Copa do Brasil;CSA;São Paulo;0:2;Leco (2015-2020)
Campeonato Paulista;São Paulo;Santos;0:1;Leco (2015-2020)
Campeonato Paulista;Ituano;São Paulo;2:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Ferroviária;0:0;Leco (2015-2020)
Copa do Brasil;São Paulo;CRB;2:0;Leco (2015-2020)
Campeonato Paulista;Linense;São Paulo;1:2;Leco (2015-2020)
Campeonato Paulista;Palmeiras;São Paulo;2:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;RB Brasil;3:1;Leco (2015-2020)
Copa do Brasil;CRB;São Paulo;0:3;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Caetano;São Paulo;1:0;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;São Caetano;2:0;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;Corinthians;1:0;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Corinthians;São Paulo;6:4 pen.;Leco (2015-2020)
Copa do Brasil;Atlético-PR;São Paulo;2:1;Leco (2015-2020)
Copa Sul-Americana;Rosario Central;São Paulo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Paraná;1:0;Leco (2015-2020)
Copa do Brasil;São Paulo;Atlético-PR;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Ceará;São Paulo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Fluminense;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;2:2;Leco (2015-2020)
Copa Sul-Americana;São Paulo;Rosario Central;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Bahia;São Paulo;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Santos;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;América-MG;São Paulo;1:3;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Botafogo;3:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Palmeiras;São Paulo;3:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Internacional;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-PR;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vitória;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Flamengo;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Corinthians;3:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Grêmio;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Cruzeiro;São Paulo;0:2;Leco (2015-2020)
Copa Sul-Americana;São Paulo;Colón;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vasco da Gama;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Sport;São Paulo;1:3;Leco (2015-2020)
Copa Sul-Americana;Colón;São Paulo;5:4 pen.;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Chapecoense;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Paraná;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Ceará;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Fluminense;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Bahia;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Santos;São Paulo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;América-MG;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Botafogo;São Paulo;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Palmeiras;0:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Internacional;São Paulo;3:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-PR;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Vitória;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Flamengo;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Corinthians;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Grêmio;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Sport;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Chapecoense;São Paulo;1:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;Mirassol;4:1;Leco (2015-2020)
Campeonato Paulista;Novorizontino;São Paulo;0:3;Leco (2015-2020)
Campeonato Paulista;Santos;São Paulo;2:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;Guarani;0:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;São Bento;1:0;Leco (2015-2020)
Copa Libertadores;CA Talleres;São Paulo;2:0;Leco (2015-2020)
Campeonato Paulista;Ponte Preta;São Paulo;1:0;Leco (2015-2020)
Copa Libertadores;São Paulo;CA Talleres;0:0;Leco (2015-2020)
Campeonato Paulista;Corinthians;São Paulo;2:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;RB Brasil;0:0;Leco (2015-2020)
Campeonato Paulista;Bragantino;São Paulo;0:2;Leco (2015-2020)
Campeonato Paulista;São Paulo;Ferroviária;1:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Palmeiras;0:1;Leco (2015-2020)
Campeonato Paulista;São Caetano;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;Ituano;2:1;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Ituano;São Paulo;0:1;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;Palmeiras;0:0;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Palmeiras;São Paulo;4:5 pen.;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;Corinthians;0:0;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;Corinthians;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Botafogo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Goiás;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Flamengo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Fortaleza;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Bahia;0:0;Leco (2015-2020)
Copa do Brasil;São Paulo;Bahia;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Corinthians;São Paulo;1:0;Leco (2015-2020)
Copa do Brasil;Bahia;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Avaí;São Paulo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Palmeiras;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Chapecoense;4:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Fluminense;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Santos;3:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Ceará;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Athletico-PR;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Grêmio;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Internacional;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;CSA;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Botafogo;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Goiás;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Flamengo;São Paulo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Fortaleza;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Bahia;São Paulo;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Corinthians;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Cruzeiro;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Avaí;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Palmeiras;São Paulo;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Chapecoense;São Paulo;0:3;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Fluminense;0:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Athletico-PR;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Santos;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Ceará;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vasco da Gama;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Grêmio;São Paulo;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Internacional;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;CSA;São Paulo;1:2;Leco (2015-2020)
Campeonato Paulista;São Paulo;Água Santa;2:0;Leco (2015-2020)
Campeonato Paulista;Palmeiras;São Paulo;0:0;Leco (2015-2020)
Campeonato Paulista;Ferroviária;São Paulo;1:2;Leco (2015-2020)
Campeonato Paulista;São Paulo;Novorizontino;1:1;Leco (2015-2020)
Campeonato Paulista;Santo André;São Paulo;2:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Corinthians;0:0;Leco (2015-2020)
Campeonato Paulista;Oeste;São Paulo;0:4;Leco (2015-2020)
Campeonato Paulista;São Paulo;Ponte Preta;2:1;Leco (2015-2020)
Copa Libertadores;Dep. Binacional;São Paulo;2:1;Leco (2015-2020)
Campeonato Paulista;Botafogo-SP;São Paulo;1:0;Leco (2015-2020)
Copa Libertadores;São Paulo;LDU Quito;3:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;Santos;2:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Bragantino;2:3;Leco (2015-2020)
Campeonato Paulista;Guarani;São Paulo;1:3;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;São Paulo;Mirassol;2:3;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Fortaleza;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Bahia;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Sport;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Athletico-PR;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Corinthians;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Fluminense;3:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Bragantino;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Santos;São Paulo;2:2;Leco (2015-2020)
Copa Libertadores;São Paulo;River Plate;2:2;Leco (2015-2020)
Copa Libertadores;LDU Quito;São Paulo;4:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Internacional;São Paulo;1:1;Leco (2015-2020)
Copa Libertadores;River Plate;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Coritiba;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-GO;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Palmeiras;São Paulo;0:2;Leco (2015-2020)
Copa do Brasil;Fortaleza;São Paulo;3:3;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Grêmio;0:0;Leco (2015-2020)
Copa Libertadores;São Paulo;Dep. Binacional;5:1;Leco (2015-2020)
Copa do Brasil;São Paulo;Fortaleza;10:9 pen.;Leco (2015-2020)
Copa Sul-Americana;Lanús;São Paulo;3:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Flamengo;São Paulo;1:4;Leco (2015-2020)
Copa Sul-Americana;São Paulo;Lanús;4:3;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Goiás;2:1;Leco (2015-2020)
Copa do Brasil;Flamengo;São Paulo;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Fortaleza;São Paulo;2:3;Leco (2015-2020)
Copa do Brasil;São Paulo;Flamengo;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vasco da Gama;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Ceará;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;Bahia;São Paulo;1:3;Leco (2015-2020)
Campeonato Brasileiro Série A;Goiás;São Paulo;0:3;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Sport;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Botafogo;4:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Corinthians;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;3:0;Leco (2015-2020)
Copa do Brasil;Grêmio;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Fluminense;São Paulo;1:2;Leco (2015-2020)
Copa do Brasil;São Paulo;Grêmio;0:0;Leco (2015-2020)
