Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Brasileiro Série A;Internacional;São Paulo;0:1;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Santos;2:1;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Copa Sul-Americana;Criciúma;São Paulo;2:1;Carlos Miguel Aidar (2014-2015);1;2;Derrota
Campeonato Brasileiro Série A;Figueirense;São Paulo;1:1;Carlos Miguel Aidar (2014-2015);1;1;Empate
Copa Sul-Americana;São Paulo;Criciúma;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Sport;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Campeonato Brasileiro Série A;Botafogo;São Paulo;2:4;Carlos Miguel Aidar (2014-2015);4;2;Vitória
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Campeonato Brasileiro Série A;Coritiba;São Paulo;3:1;Carlos Miguel Aidar (2014-2015);1;3;Derrota
Campeonato Brasileiro Série A;Corinthians;São Paulo;3:2;Carlos Miguel Aidar (2014-2015);2;3;Derrota
Campeonato Brasileiro Série A;São Paulo;Flamengo;2:2;Carlos Miguel Aidar (2014-2015);2;2;Empate
Campeonato Brasileiro Série A;São Paulo;Fluminense;1:3;Carlos Miguel Aidar (2014-2015);1;3;Derrota
Copa Sul-Americana;São Paulo;Huachipato;1:0;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;Grêmio;São Paulo;0:1;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Atlético-PR;1:0;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;1:0;Carlos Miguel Aidar (2014-2015);0;1;Derrota
Copa Sul-Americana;Huachipato;São Paulo;2:3;Carlos Miguel Aidar (2014-2015);3;2;Vitória
Campeonato Brasileiro Série A;São Paulo;Bahia;2:1;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Campeonato Brasileiro Série A;Chapecoense;São Paulo;0:0;Carlos Miguel Aidar (2014-2015);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Goiás;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Copa Sul-Americana;São Paulo;CS Emelec;4:2;Carlos Miguel Aidar (2014-2015);4;2;Vitória
Campeonato Brasileiro Série A;Criciúma;São Paulo;1:2;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Copa Sul-Americana;CS Emelec;São Paulo;3:2;Carlos Miguel Aidar (2014-2015);2;3;Derrota
Campeonato Brasileiro Série A;Vitória;São Paulo;1:2;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Internacional;1:1;Carlos Miguel Aidar (2014-2015);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Palmeiras;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Copa Sul-Americana;Atl. Nacional;São Paulo;1:0;Carlos Miguel Aidar (2014-2015);0;1;Derrota
Campeonato Brasileiro Série A;Santos;São Paulo;0:1;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Figueirense;1:1;Carlos Miguel Aidar (2014-2015);1;1;Empate
Campeonato Brasileiro Série A;Sport;São Paulo;1:0;Carlos Miguel Aidar (2014-2015);0;1;Derrota
Campeonato Paulista;Penapolense;São Paulo;1:3;Carlos Miguel Aidar (2014-2015);3;1;Vitória
Campeonato Paulista;São Paulo;Capivariano;4:2;Carlos Miguel Aidar (2014-2015);4;2;Vitória
Campeonato Paulista;São Paulo;XV Piracicaba;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Campeonato Paulista;Santos;São Paulo;0:0;Carlos Miguel Aidar (2014-2015);0;0;Empate
Campeonato Paulista;Bragantino;São Paulo;0:5;Carlos Miguel Aidar (2014-2015);5;0;Vitória
Copa Libertadores;Corinthians;São Paulo;2:0;Carlos Miguel Aidar (2014-2015);0;2;Derrota
Campeonato Paulista;São Paulo;GO Audax;4:0;Carlos Miguel Aidar (2014-2015);4;0;Vitória
Copa Libertadores;São Paulo;Danubio FC;4:0;Carlos Miguel Aidar (2014-2015);4;0;Vitória
Campeonato Paulista;Rio Claro;São Paulo;0:0;Carlos Miguel Aidar (2014-2015);0;0;Empate
Campeonato Paulista;São Paulo;Corinthians;0:1;Carlos Miguel Aidar (2014-2015);0;1;Derrota
Campeonato Paulista;São Paulo;São Bento;1:0;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Paulista;Ponte Preta;São Paulo;1:2;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Copa Libertadores;São Paulo;San Lorenzo;1:0;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Paulista;São Paulo;Marília;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Campeonato Paulista;Palmeiras;São Paulo;3:0;Carlos Miguel Aidar (2014-2015);0;3;Derrota
Campeonato Paulista;São Paulo;Linense;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Copa Libertadores;San Lorenzo;São Paulo;1:0;Carlos Miguel Aidar (2014-2015);0;1;Derrota
Campeonato Paulista;Botafogo-SP;São Paulo;2:0;Carlos Miguel Aidar (2014-2015);0;2;Derrota
Campeonato Paulista;São Paulo;Portuguesa;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Campeonato Paulista - Série A1 - Fase final;São Paulo;RB Brasil;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Copa Libertadores;Danubio FC;São Paulo;1:2;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Campeonato Paulista - Série A1 - Fase final;Santos;São Paulo;2:1;Carlos Miguel Aidar (2014-2015);1;2;Derrota
Copa Libertadores;São Paulo;Corinthians;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Copa Libertadores;São Paulo;Cruzeiro;1:0;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Flamengo;2:1;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Campeonato Brasileiro Série A;Ponte Preta;São Paulo;1:0;Carlos Miguel Aidar (2014-2015);0;1;Derrota
Campeonato Brasileiro Série A;São Paulo;Joinville;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Campeonato Brasileiro Série A;Internacional;São Paulo;0:0;Carlos Miguel Aidar (2014-2015);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Santos;3:2;Carlos Miguel Aidar (2014-2015);3;2;Vitória
Campeonato Brasileiro Série A;São Paulo;Grêmio;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Campeonato Brasileiro Série A;Chapecoense;São Paulo;0:1;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Avaí;1:1;Carlos Miguel Aidar (2014-2015);1;1;Empate
Campeonato Brasileiro Série A;Palmeiras;São Paulo;4:0;Carlos Miguel Aidar (2014-2015);0;4;Derrota
Campeonato Brasileiro Série A;Atlético-PR;São Paulo;2:1;Carlos Miguel Aidar (2014-2015);1;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Fluminense;0:0;Carlos Miguel Aidar (2014-2015);0;0;Empate
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;0:4;Carlos Miguel Aidar (2014-2015);4;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Coritiba;3:1;Carlos Miguel Aidar (2014-2015);3;1;Vitória
Campeonato Brasileiro Série A;Sport;São Paulo;2:0;Carlos Miguel Aidar (2014-2015);0;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;1:0;Carlos Miguel Aidar (2014-2015);1;0;Vitória
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;3:1;Carlos Miguel Aidar (2014-2015);1;3;Derrota
Campeonato Brasileiro Série A;São Paulo;Corinthians;1:1;Carlos Miguel Aidar (2014-2015);1;1;Empate
Campeonato Brasileiro Série A;Figueirense;São Paulo;0:2;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Goiás;0:3;Carlos Miguel Aidar (2014-2015);0;3;Derrota
Copa do Brasil;São Paulo;Ceará;1:2;Carlos Miguel Aidar (2014-2015);1;2;Derrota
Campeonato Brasileiro Série A;Flamengo;São Paulo;2:1;Carlos Miguel Aidar (2014-2015);1;2;Derrota
Copa do Brasil;Ceará;São Paulo;0:3;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Ponte Preta;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Campeonato Brasileiro Série A;Joinville;São Paulo;0:0;Carlos Miguel Aidar (2014-2015);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Internacional;2:0;Carlos Miguel Aidar (2014-2015);2;0;Vitória
Campeonato Brasileiro Série A;Santos;São Paulo;3:0;Carlos Miguel Aidar (2014-2015);0;3;Derrota
Campeonato Brasileiro Série A;Grêmio;São Paulo;1:2;Carlos Miguel Aidar (2014-2015);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Chapecoense;0:0;Carlos Miguel Aidar (2014-2015);0;0;Empate
Campeonato Brasileiro Série A;Avaí;São Paulo;2:1;Carlos Miguel Aidar (2014-2015);1;2;Derrota
Copa do Brasil;São Paulo;Vasco da Gama;3:0;Carlos Miguel Aidar (2014-2015);3;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Palmeiras;1:1;Carlos Miguel Aidar (2014-2015);1;1;Empate
Copa do Brasil;Vasco da Gama;São Paulo;1:1;Carlos Miguel Aidar (2014-2015);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Atlético-PR;1:0;Carlos Miguel Aidar (2014-2015);1;0;Vitória
