Time da casa;Time da casa.1;Time visitante;Time visitante.1;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Bragantino;1:3;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Palmeiras (15.);;São Paulo (5.);1:2;;;Carlos Miguel Aidar (2014-2015)
;Internacional (2.);;São Paulo (5.);0:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (4.);;Santos (7.);2:1;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;Criciúma;;São Paulo;2:1;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Figueirense (13.);;São Paulo (2.);1:1;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Criciúma;2:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (3.);;Sport (7.);2:0;;;Carlos Miguel Aidar (2014-2015)
;Botafogo (12.);;São Paulo (2.);2:4;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Cruzeiro (1.);2:0;;;Carlos Miguel Aidar (2014-2015)
;Coritiba (18.);;São Paulo (2.);3:1;;;Carlos Miguel Aidar (2014-2015)
;Corinthians (5.);;São Paulo (2.);3:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Flamengo (11.);2:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (3.);;Fluminense (7.);1:3;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Huachipato;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Grêmio (5.);;São Paulo (3.);0:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (3.);;Atlético-PR (12.);1:0;;;Carlos Miguel Aidar (2014-2015)
;Atlético-MG (6.);;São Paulo (2.);1:0;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;Huachipato;;São Paulo;2:3;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (3.);;Bahia (17.);2:1;;;Carlos Miguel Aidar (2014-2015)
;Chapecoense (15.);;São Paulo (2.);0:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Goiás (9.);3:0;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;São Paulo;;CS Emelec;4:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Criciúma (20.);;São Paulo (2.);1:2;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;CS Emelec;;São Paulo;3:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Vitória (16.);;São Paulo (2.);1:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Internacional (5.);1:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Palmeiras (14.);2:0;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;Atl. Nacional;;São Paulo;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Santos (8.);;São Paulo (2.);0:1;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Atl. Nacional;2:4 pen.;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Figueirense (12.);1:1;;;Carlos Miguel Aidar (2014-2015)
;Sport (11.);;São Paulo (2.);1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
;Penapolense;;São Paulo;1:3;;;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Capivariano;4:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo;;XV Piracicaba;2:0;;;Carlos Miguel Aidar (2014-2015)
;Santos;;São Paulo;0:0;;;Carlos Miguel Aidar (2014-2015)
;Bragantino;;São Paulo;0:5;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
;Corinthians;;São Paulo;2:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
;São Paulo;;GO Audax;4:0;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Danubio FC;4:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
;Rio Claro;;São Paulo;0:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Corinthians;0:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo;;São Bento;1:0;;;Carlos Miguel Aidar (2014-2015)
;Ponte Preta;;São Paulo;1:2;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
;São Paulo;;San Lorenzo;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Marília;3:0;;;Carlos Miguel Aidar (2014-2015)
;Palmeiras;;São Paulo;3:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Linense;3:0;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
;San Lorenzo;;São Paulo;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
;Botafogo-SP;;São Paulo;2:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Portuguesa;3:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Carlos Miguel Aidar (2014-2015)
;São Paulo;;RB Brasil;3:0;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
;Danubio FC;;São Paulo;1:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Carlos Miguel Aidar (2014-2015)
;Santos;;São Paulo;2:1;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Corinthians;2:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Cruzeiro;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (4.);;Flamengo (12.);2:1;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
;Cruzeiro;;São Paulo;5:3 pen.;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Ponte Preta (8.);;São Paulo (4.);1:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (10.);;Joinville (17.);3:0;;;Carlos Miguel Aidar (2014-2015)
;Internacional (13.);;São Paulo (4.);0:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (6.);;Santos (12.);3:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (5.);;Grêmio (9.);2:0;;;Carlos Miguel Aidar (2014-2015)
;Chapecoense (9.);;São Paulo (2.);0:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (1.);;Avaí (9.);1:1;;;Carlos Miguel Aidar (2014-2015)
;Palmeiras (14.);;São Paulo (2.);4:0;;;Carlos Miguel Aidar (2014-2015)
;Atlético-PR (6.);;São Paulo (4.);2:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (7.);;Fluminense (3.);0:0;;;Carlos Miguel Aidar (2014-2015)
;Vasco da Gama (18.);;São Paulo (8.);0:4;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (7.);;Coritiba (18.);3:1;;;Carlos Miguel Aidar (2014-2015)
;Sport (6.);;São Paulo (5.);2:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (7.);;Cruzeiro (12.);1:0;;;Carlos Miguel Aidar (2014-2015)
;Atlético-MG (1.);;São Paulo (5.);3:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (7.);;Corinthians (2.);1:1;;;Carlos Miguel Aidar (2014-2015)
;Figueirense (15.);;São Paulo (8.);0:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (4.);;Goiás (18.);0:3;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Ceará;1:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Flamengo (13.);;São Paulo (6.);2:1;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;Ceará;;São Paulo;0:3;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (6.);;Ponte Preta (12.);3:0;;;Carlos Miguel Aidar (2014-2015)
;Joinville (19.);;São Paulo (5.);0:0;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (5.);;Internacional (11.);2:0;;;Carlos Miguel Aidar (2014-2015)
;Santos (8.);;São Paulo (4.);3:0;;;Carlos Miguel Aidar (2014-2015)
;Grêmio (3.);;São Paulo (5.);1:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (5.);;Chapecoense (13.);0:0;;;Carlos Miguel Aidar (2014-2015)
;Avaí (16.);;São Paulo (4.);2:1;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;São Paulo;;Vasco da Gama;3:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (5.);;Palmeiras (4.);1:1;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;Vasco da Gama;;São Paulo;1:1;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (6.);;Atlético-PR (11.);1:0;;;Carlos Miguel Aidar (2014-2015)
